Transaction_ID,Customer_ID,Timestamp,Amount,Merchant_ID,Merchant_Category,Transaction_Type,Card_Present_Flag,Location_City,Location_Country,Device_ID,Channel,Is_3DS_Authenticated,Previous_Fraud_Flag,Is_Fraud
T00026,C7924,2024-03-12 00:02:12,6447.08,M407,Groceries,POS,0,Mumbai,India,D81859,Web,Yes,No,0
T00027,C6574,2024-10-01 18:39:52,4117.51,M514,Travel,Online,0,Chennai,India,D35310,Web,Yes,No,0
T00028,C5552,2024-08-07 04:47:21,3428.58,M595,Dining,ATM Withdrawal,1,Bangalore,UK,D69772,Web,Yes,Yes,0
T00029,C3547,2024-05-19 07:49:53,6460.87,M288,Groceries,ATM Withdrawal,0,Delhi,India,D94924,Web,Yes,No,0
T00030,C4527,2023-01-07 20:06:46,3263.74,M939,Utilities,Online,0,Chennai,USA,D68334,ATM,No,No,0
T00031,C6514,2023-03-31 02:34:19,5933.98,M340,Groceries,ATM Withdrawal,1,Mumbai,USA,D93356,Web,Yes,No,0
T00032,C2674,2024-06-03 13:55:00,6968.94,M961,Clothing,Online,0,Bangalore,UK,D49866,Web,Yes,No,0
T00033,C2519,2023-09-26 18:02:36,8419.24,M968,Travel,POS,1,Chennai,UK,D40803,ATM,No,Yes,0
T00034,C7224,2023-12-13 03:50:22,4453.12,M659,Clothing,POS,1,Hyderabad,India,D55854,Web,No,Yes,0
T00035,C2584,2023-07-06 16:24:32,3041.52,M366,Electronics,ATM Withdrawal,1,Kolkata,UK,D45522,Web,Yes,No,1
T00036,C6881,2024-12-03 13:02:09,1320.41,M941,Entertainment,POS,0,Mumbai,USA,D17505,ATM,No,Yes,0
T00037,C6635,2024-05-13 20:40:31,7893.69,M727,Dining,POS,1,Chennai,India,D50116,Mobile App,Yes,Yes,0
T00038,C5333,2024-04-21 16:13:03,1718.2,M797,Entertainment,Online,0,Mumbai,USA,D75135,Mobile App,Yes,No,0
T00039,C1711,2024-12-14 12:04:52,2600.81,M549,Entertainment,Online,1,Kolkata,India,D63030,Mobile App,Yes,Yes,0
T00040,C8527,2024-04-27 10:44:02,4842.95,M979,Groceries,POS,0,Delhi,UK,D32853,Mobile App,Yes,No,0
T00041,C9785,2023-07-09 09:16:03,9707.27,M773,Utilities,ATM Withdrawal,1,Hyderabad,USA,D54546,Web,No,Yes,0
T00042,C3045,2023-01-31 23:21:56,7697.73,M731,Utilities,ATM Withdrawal,1,Kolkata,Singapore,D98652,Mobile App,No,No,0
T00043,C7201,2024-06-14 03:40:46,474.14,M226,Electronics,ATM Withdrawal,0,Hyderabad,Singapore,D36014,ATM,Yes,No,0
T00044,C2291,2024-11-18 21:54:07,3531.86,M542,Groceries,ATM Withdrawal,0,Hyderabad,Singapore,D88094,ATM,Yes,No,0
T00045,C5803,2023-09-07 06:41:58,4559.81,M249,Travel,ATM Withdrawal,0,Kolkata,India,D57727,Web,Yes,No,0
T00046,C6925,2023-10-24 05:18:02,1664.46,M751,Clothing,POS,0,Chennai,USA,D16124,Web,No,Yes,0
T00047,C4150,2024-12-12 10:13:04,9241.39,M122,Entertainment,ATM Withdrawal,0,Hyderabad,Singapore,D23960,Mobile App,Yes,Yes,0
T00048,C2139,2024-09-10 10:21:59,7118.41,M289,Electronics,Online,0,Mumbai,Singapore,D21395,Web,Yes,Yes,0
T00049,C1750,2023-03-30 01:26:42,2853.18,M245,Travel,ATM Withdrawal,1,Hyderabad,USA,D25179,ATM,No,No,0
T00050,C4733,2023-10-27 17:14:55,9732.09,M938,Utilities,POS,1,Bangalore,India,D53202,Mobile App,No,Yes,0
T00051,C5741,2023-07-19 07:11:40,8393.48,M862,Travel,POS,0,Mumbai,India,D30861,Mobile App,Yes,Yes,1
T00052,C2307,2024-02-24 14:45:12,6928.9,M773,Dining,POS,0,Mumbai,USA,D52549,ATM,No,Yes,0
T00053,C4814,2024-07-16 07:53:00,6663.89,M346,Groceries,Online,0,Bangalore,USA,D51856,ATM,No,No,0
T00054,C2654,2023-08-08 16:18:52,1535.69,M274,Electronics,ATM Withdrawal,0,Chennai,Singapore,D76393,Web,No,Yes,0
T00055,C7227,2023-01-20 04:32:53,2379.82,M623,Clothing,ATM Withdrawal,0,Mumbai,India,D99892,Mobile App,No,No,0
T00056,C5554,2024-12-08 20:31:58,412.47,M859,Travel,Online,1,Delhi,UK,D67069,Mobile App,No,No,0
T00057,C8428,2024-02-06 11:06:52,3166.94,M816,Entertainment,ATM Withdrawal,0,Kolkata,UK,D33799,Mobile App,No,Yes,0
T00058,C6977,2024-09-30 13:13:25,1265.61,M659,Dining,Online,1,Mumbai,Singapore,D70687,Mobile App,No,Yes,0
T00059,C3664,2024-08-21 11:03:18,2604.81,M305,Travel,POS,0,Delhi,UK,D68369,Mobile App,Yes,No,0
T00060,C7065,2023-10-19 05:43:28,1845.78,M587,Travel,Online,0,Delhi,Singapore,D81211,ATM,No,No,0
T00061,C6820,2024-02-04 11:24:56,5625.31,M591,Travel,POS,1,Delhi,India,D82373,Web,Yes,Yes,0
T00062,C4432,2024-09-15 13:35:19,347.86,M396,Clothing,POS,1,Bangalore,UK,D80556,Web,No,No,0
T00063,C5374,2024-01-31 03:31:07,3170.12,M396,Dining,POS,0,Delhi,USA,D33221,Mobile App,No,Yes,0
T00064,C2169,2023-12-13 01:46:57,3439.13,M783,Entertainment,ATM Withdrawal,0,Hyderabad,India,D62673,Web,No,No,0
T00065,C3803,2024-01-14 02:41:51,3729.78,M202,Travel,Online,0,Hyderabad,India,D15292,ATM,Yes,No,0
T00066,C9751,2023-02-04 01:27:15,5399.13,M702,Travel,ATM Withdrawal,0,Chennai,India,D38973,Mobile App,No,Yes,0
T00067,C5010,2023-08-19 05:55:46,1626.81,M604,Electronics,Online,0,Delhi,UK,D20807,ATM,No,No,0
T00068,C3677,2024-11-28 17:10:58,3016.3,M476,Groceries,Online,1,Bangalore,USA,D68345,ATM,No,No,0
T00069,C8573,2024-05-21 01:21:57,9204.42,M783,Travel,ATM Withdrawal,1,Bangalore,USA,D46223,Web,Yes,Yes,0
T00070,C7216,2023-05-30 12:41:27,4046.22,M381,Electronics,Online,1,Chennai,India,D79667,Mobile App,No,No,1
T00071,C5422,2023-09-06 19:03:45,4994.67,M500,Entertainment,ATM Withdrawal,0,Bangalore,Singapore,D87012,Web,No,Yes,0
T00072,C4598,2024-02-04 03:41:29,1454.69,M495,Utilities,POS,0,Kolkata,Singapore,D12448,Web,Yes,Yes,0
T00073,C6313,2023-03-05 23:01:49,4580.95,M814,Clothing,ATM Withdrawal,0,Hyderabad,USA,D41189,ATM,Yes,No,0
T00074,C1916,2023-03-16 12:45:27,3202.86,M919,Entertainment,Online,1,Bangalore,Singapore,D12604,Web,No,Yes,0
T00075,C4752,2023-05-11 00:27:55,43.94,M209,Clothing,ATM Withdrawal,1,Mumbai,UK,D43387,ATM,No,No,0
T00076,C1525,2024-08-23 15:42:07,7385.21,M575,Clothing,ATM Withdrawal,1,Mumbai,USA,D57021,Web,No,Yes,0
T00077,C6168,2024-02-22 20:34:39,9756.03,M526,Utilities,ATM Withdrawal,1,Delhi,India,D79946,Web,Yes,Yes,0
T00078,C7572,2024-02-19 03:40:37,3313.48,M933,Utilities,ATM Withdrawal,1,Chennai,India,D76518,ATM,No,No,0
T00079,C5386,2023-01-06 16:39:07,7054.81,M535,Utilities,Online,1,Chennai,UK,D10916,ATM,Yes,Yes,0
T00080,C2084,2024-05-01 22:52:46,4739.63,M251,Travel,POS,0,Kolkata,USA,D87726,Web,Yes,Yes,0
T00081,C4456,2023-02-20 20:28:59,2898.98,M128,Clothing,Online,0,Bangalore,Singapore,D71720,Mobile App,Yes,No,0
T00082,C6155,2023-06-13 17:15:05,9440.15,M390,Travel,Online,0,Bangalore,USA,D25431,ATM,No,Yes,0
T00083,C4483,2024-06-04 15:57:08,9806.92,M568,Entertainment,ATM Withdrawal,1,Delhi,Singapore,D81246,Mobile App,Yes,Yes,0
T00084,C9179,2024-05-03 23:00:01,5737.7,M223,Utilities,POS,1,Chennai,Singapore,D66592,Mobile App,No,Yes,0
T00085,C7482,2024-08-23 20:37:07,1471.69,M677,Utilities,POS,0,Hyderabad,UK,D18835,Mobile App,Yes,No,0
T00086,C8517,2023-06-15 13:52:20,5652.75,M498,Clothing,Online,1,Chennai,India,D50566,Web,Yes,Yes,0
T00087,C3340,2024-11-02 19:51:09,9068.9,M111,Dining,POS,0,Bangalore,India,D27202,Mobile App,Yes,Yes,0
T00088,C5339,2024-06-16 08:52:43,4421.61,M694,Utilities,Online,0,Kolkata,Singapore,D33342,Web,No,Yes,0
T00089,C3287,2023-11-26 11:50:14,6891.78,M410,Clothing,Online,0,Chennai,Singapore,D89842,Web,Yes,No,0
T00090,C5040,2024-10-11 01:55:34,7316.67,M134,Dining,Online,1,Kolkata,Singapore,D38860,Mobile App,Yes,No,0
T00091,C9830,2023-03-22 17:20:10,9001.84,M760,Groceries,POS,0,Hyderabad,Singapore,D58231,Web,Yes,Yes,0
T00092,C5304,2023-06-09 16:16:51,1395.09,M766,Dining,ATM Withdrawal,0,Delhi,India,D53054,Web,No,No,0
T00093,C8019,2024-02-22 16:27:54,5510.05,M772,Entertainment,Online,0,Chennai,Singapore,D48668,ATM,Yes,Yes,0
T00094,C7543,2024-10-05 16:59:41,3081.51,M734,Groceries,Online,1,Bangalore,Singapore,D96605,Web,Yes,Yes,0
T00095,C6930,2024-06-29 20:04:35,4016.9,M555,Entertainment,POS,1,Kolkata,Singapore,D57771,Web,Yes,Yes,0
T00096,C4593,2024-11-13 10:59:06,8408.93,M143,Entertainment,Online,1,Mumbai,USA,D88152,ATM,No,No,0
T00097,C3266,2024-07-29 20:13:56,4460.28,M463,Groceries,ATM Withdrawal,0,Kolkata,USA,D33730,Web,Yes,Yes,0
T00098,C9348,2024-08-25 02:54:03,925.72,M242,Clothing,POS,0,Mumbai,Singapore,D15923,ATM,No,No,0
T00099,C9085,2023-12-05 01:25:11,551.28,M579,Groceries,ATM Withdrawal,1,Hyderabad,USA,D52727,ATM,No,No,0
T00100,C2489,2024-05-17 04:46:24,6413.49,M840,Groceries,POS,1,Hyderabad,Singapore,D56219,Mobile App,Yes,No,0
T00101,C1771,2024-09-26 09:24:16,5834.73,M569,Travel,POS,1,Delhi,UK,D83863,Web,No,No,0
T00102,C2796,2024-12-30 22:13:49,2222.22,M383,Groceries,ATM Withdrawal,0,Chennai,India,D63315,Mobile App,No,No,0
T00103,C3504,2023-02-26 00:25:24,9356.72,M109,Utilities,POS,0,Delhi,India,D68058,Web,No,No,0
T00104,C3621,2024-08-03 03:03:14,2779.99,M262,Groceries,POS,0,Delhi,Singapore,D52097,ATM,Yes,No,0
T00105,C7916,2024-06-16 20:46:42,226.46,M466,Electronics,Online,1,Bangalore,USA,D68316,ATM,Yes,Yes,0
T00106,C2040,2023-04-30 10:11:35,5384.58,M612,Dining,POS,0,Mumbai,Singapore,D75001,ATM,Yes,No,0
T00107,C7304,2023-01-19 10:47:13,4455.14,M976,Travel,POS,0,Delhi,Singapore,D88588,Mobile App,Yes,No,0
T00108,C7252,2023-12-23 16:34:43,6715.91,M981,Groceries,Online,1,Chennai,USA,D89595,Web,Yes,No,0
T00109,C8668,2024-07-10 19:23:36,874.68,M615,Entertainment,Online,0,Hyderabad,USA,D21568,Mobile App,Yes,No,0
T00110,C9669,2023-09-15 15:37:22,5118.36,M315,Entertainment,ATM Withdrawal,0,Chennai,USA,D24021,Mobile App,No,No,0
T00111,C5119,2023-01-30 10:15:07,1945.31,M457,Dining,ATM Withdrawal,0,Hyderabad,Singapore,D99210,Web,Yes,Yes,0
T00112,C1188,2023-03-09 23:30:28,3178.26,M823,Travel,POS,0,Delhi,Singapore,D34689,Mobile App,Yes,No,0
T00113,C2876,2023-02-26 21:26:32,6051.17,M637,Entertainment,POS,0,Hyderabad,Singapore,D68879,ATM,Yes,No,0
T00114,C9797,2023-02-12 03:37:48,9434.08,M499,Utilities,ATM Withdrawal,1,Chennai,Singapore,D87648,Web,No,Yes,0
T00115,C5371,2023-05-19 06:00:51,9084.56,M625,Utilities,ATM Withdrawal,0,Delhi,India,D81860,ATM,No,Yes,0
T00116,C6573,2024-09-08 21:14:12,3611.29,M164,Travel,Online,0,Delhi,USA,D39294,Web,Yes,Yes,0
T00117,C2827,2023-07-15 15:54:19,1480.31,M278,Electronics,ATM Withdrawal,0,Hyderabad,Singapore,D12401,Web,No,No,0
T00118,C5808,2024-03-09 11:26:37,8538.19,M771,Entertainment,POS,0,Kolkata,Singapore,D50035,Web,No,No,0
T00119,C8123,2023-02-24 17:08:08,3696.93,M255,Utilities,POS,1,Chennai,India,D53431,Web,No,No,0
T00120,C3591,2024-03-22 14:04:26,3728.94,M460,Dining,ATM Withdrawal,0,Kolkata,Singapore,D71307,Mobile App,Yes,No,0
T00121,C8433,2024-09-30 04:05:39,2847.22,M771,Clothing,POS,1,Kolkata,UK,D63959,Web,No,Yes,0
T00122,C1053,2023-06-26 19:37:19,3514.2,M836,Utilities,POS,0,Chennai,USA,D28716,Mobile App,Yes,No,0
T00123,C5315,2024-12-08 14:01:14,9775.26,M676,Groceries,Online,1,Delhi,USA,D67953,ATM,Yes,No,0
T00124,C9201,2023-07-20 21:32:50,8743.14,M447,Electronics,POS,0,Bangalore,India,D42782,ATM,Yes,No,0
T00125,C3927,2023-11-13 14:49:32,876.9,M570,Entertainment,POS,1,Delhi,Singapore,D52616,ATM,No,Yes,0
T00126,C9317,2023-10-29 09:27:07,7278.81,M832,Entertainment,Online,0,Delhi,UK,D99499,ATM,Yes,No,0
T00127,C2743,2023-12-17 09:35:30,4442.76,M979,Utilities,POS,0,Kolkata,USA,D23641,Mobile App,Yes,Yes,0
T00128,C5889,2024-05-04 12:06:04,9925.98,M905,Travel,ATM Withdrawal,1,Hyderabad,UK,D21503,Mobile App,Yes,No,0
T00129,C9317,2023-11-11 03:27:27,8037.05,M243,Dining,Online,0,Bangalore,India,D60994,ATM,No,No,0
T00130,C4258,2023-12-03 08:10:18,2887.05,M385,Groceries,POS,1,Kolkata,USA,D10073,Mobile App,No,No,0
T00131,C3504,2023-09-03 18:12:09,8056.92,M903,Dining,Online,1,Delhi,UK,D82023,Mobile App,Yes,Yes,0
T00132,C7126,2023-01-14 02:52:13,9703.64,M880,Dining,ATM Withdrawal,0,Mumbai,UK,D84709,ATM,Yes,Yes,0
T00133,C3646,2023-10-30 12:50:27,4238.9,M774,Dining,ATM Withdrawal,1,Hyderabad,Singapore,D56746,Web,Yes,Yes,0
T00134,C9837,2024-06-06 23:11:53,8964.39,M410,Utilities,Online,1,Kolkata,Singapore,D79547,Mobile App,No,Yes,0
T00135,C9689,2023-04-02 21:22:45,1396.54,M503,Entertainment,POS,1,Chennai,Singapore,D84768,Mobile App,No,Yes,0
T00136,C1009,2024-02-20 10:02:07,5872.21,M169,Travel,POS,0,Bangalore,USA,D70916,ATM,Yes,No,0
T00137,C6310,2023-01-05 13:57:50,861.69,M959,Clothing,Online,0,Chennai,Singapore,D15108,Mobile App,No,Yes,0
T00138,C9005,2024-05-13 04:59:11,2078.63,M760,Groceries,POS,1,Kolkata,UK,D24290,Mobile App,No,Yes,0
T00139,C1319,2024-07-13 11:05:53,4746.66,M595,Utilities,ATM Withdrawal,0,Bangalore,Singapore,D55695,Mobile App,Yes,Yes,0
T00140,C2832,2024-04-25 06:52:03,8675.39,M485,Entertainment,POS,0,Bangalore,Singapore,D96415,Web,No,No,1
T00141,C6947,2023-02-19 02:50:02,9866.4,M583,Electronics,POS,1,Chennai,UK,D32005,Web,No,No,1
T00142,C6038,2024-08-10 04:07:36,662.09,M720,Clothing,Online,0,Chennai,India,D33794,Web,No,Yes,0
T00143,C4923,2024-08-02 09:32:06,9600.99,M774,Utilities,ATM Withdrawal,1,Delhi,USA,D25241,Web,No,No,0
T00144,C1949,2024-03-30 20:31:28,7561.38,M284,Clothing,ATM Withdrawal,0,Chennai,UK,D36883,ATM,Yes,Yes,0
T00145,C4946,2023-02-05 08:29:44,885.39,M689,Clothing,ATM Withdrawal,0,Hyderabad,India,D36400,ATM,Yes,No,0
T00146,C2290,2024-06-28 09:23:16,4095.2,M825,Utilities,ATM Withdrawal,1,Mumbai,UK,D59665,ATM,No,Yes,0
T00147,C2403,2024-10-20 20:32:57,9144.19,M619,Clothing,POS,0,Chennai,India,D78378,ATM,Yes,Yes,0
T00148,C8962,2023-02-26 09:09:55,4145.73,M894,Electronics,POS,1,Kolkata,India,D88002,Web,No,Yes,0
T00149,C2133,2023-10-05 20:00:49,5558.58,M774,Travel,Online,0,Delhi,UK,D59277,ATM,Yes,Yes,0
T00150,C9727,2024-12-21 20:03:50,7102.76,M638,Electronics,ATM Withdrawal,1,Delhi,India,D17967,Mobile App,Yes,Yes,0
T00151,C3060,2024-01-26 13:33:36,7552.68,M365,Utilities,Online,1,Delhi,Singapore,D11017,ATM,Yes,Yes,0
T00152,C3103,2023-03-24 10:30:35,1370.13,M232,Clothing,ATM Withdrawal,1,Chennai,India,D77373,ATM,Yes,No,0
T00153,C8787,2023-08-14 02:56:44,1860.88,M814,Utilities,POS,0,Hyderabad,Singapore,D35658,Mobile App,No,Yes,0
T00154,C3705,2024-09-03 04:43:41,3818.31,M431,Dining,ATM Withdrawal,0,Delhi,UK,D45690,Mobile App,Yes,Yes,0
T00155,C5342,2024-06-16 17:42:17,5539.12,M702,Electronics,ATM Withdrawal,0,Chennai,Singapore,D70097,Web,Yes,Yes,1
T00156,C9645,2023-08-23 01:35:03,423.29,M694,Groceries,ATM Withdrawal,0,Mumbai,USA,D66704,Web,No,No,0
T00157,C7932,2024-04-16 03:12:24,8262.66,M456,Clothing,POS,1,Hyderabad,India,D99228,ATM,No,No,0
T00158,C4470,2023-03-09 04:34:27,8346.02,M698,Entertainment,Online,0,Kolkata,USA,D19220,Web,Yes,No,0
T00159,C9835,2023-08-07 15:51:55,3039.84,M732,Dining,POS,0,Hyderabad,UK,D27026,Mobile App,No,Yes,0
T00160,C4295,2024-08-17 09:44:44,5593.25,M949,Travel,Online,0,Mumbai,Singapore,D98030,Web,Yes,Yes,0
T00161,C6107,2024-12-20 18:46:12,4635.05,M513,Electronics,Online,0,Mumbai,UK,D76530,ATM,No,Yes,0
T00162,C7537,2023-12-06 22:52:29,269.37,M169,Dining,POS,0,Chennai,India,D93311,ATM,Yes,No,0
T00163,C7118,2023-10-24 06:03:51,25.46,M146,Groceries,POS,1,Hyderabad,Singapore,D85729,Mobile App,No,Yes,0
T00164,C8177,2023-11-03 21:26:41,2627.51,M130,Electronics,ATM Withdrawal,0,Chennai,India,D77661,Web,No,Yes,0
T00165,C9479,2024-09-30 13:28:18,9560.31,M972,Dining,ATM Withdrawal,0,Kolkata,India,D86901,ATM,No,Yes,0
T00166,C8397,2024-05-28 04:46:21,8342.6,M850,Groceries,POS,0,Mumbai,UK,D90927,Mobile App,Yes,Yes,0
T00167,C2982,2023-01-24 22:30:38,4725.94,M262,Utilities,ATM Withdrawal,0,Hyderabad,Singapore,D39790,Mobile App,Yes,No,0
T00168,C5061,2024-01-04 03:46:14,6538.48,M337,Groceries,Online,0,Bangalore,India,D10921,ATM,Yes,Yes,0
T00169,C4681,2023-05-02 10:04:50,8926.97,M198,Dining,POS,1,Bangalore,India,D74991,Web,Yes,Yes,0
T00170,C2049,2024-02-19 08:33:35,4172.15,M781,Electronics,Online,0,Mumbai,UK,D46800,ATM,No,Yes,0
T00171,C6539,2023-06-20 18:35:39,4919.37,M208,Dining,ATM Withdrawal,1,Kolkata,India,D61172,Web,Yes,No,0
T00172,C1344,2023-04-16 22:20:04,6878.74,M611,Utilities,Online,1,Kolkata,India,D23871,Mobile App,Yes,No,0
T00173,C4770,2024-08-03 00:30:06,2448.26,M795,Clothing,Online,1,Chennai,USA,D25313,Mobile App,Yes,Yes,0
T00174,C4608,2023-10-31 16:37:46,1194.43,M587,Clothing,Online,1,Mumbai,UK,D42298,Web,Yes,No,0
T00175,C1117,2024-09-10 20:52:38,2772.89,M431,Dining,ATM Withdrawal,0,Hyderabad,UK,D85005,Web,Yes,Yes,0
T00176,C2163,2024-09-11 10:11:26,9943.34,M878,Entertainment,ATM Withdrawal,0,Delhi,USA,D89206,Mobile App,Yes,No,0
T00177,C1964,2024-10-21 19:13:14,668.18,M337,Travel,POS,0,Hyderabad,Singapore,D93761,Web,No,No,0
T00178,C4750,2024-02-28 21:02:29,7455.91,M890,Clothing,POS,0,Hyderabad,Singapore,D72805,Mobile App,Yes,Yes,0
T00179,C2104,2023-08-18 02:47:49,5811.08,M927,Travel,ATM Withdrawal,1,Bangalore,UK,D85669,Web,Yes,No,0
T00180,C1514,2024-05-07 11:28:04,5656.18,M850,Dining,POS,1,Kolkata,Singapore,D87908,ATM,No,Yes,0
T00181,C6413,2023-04-22 21:45:45,8683.59,M914,Clothing,ATM Withdrawal,0,Delhi,India,D26599,Mobile App,No,No,0
T00182,C2160,2023-08-20 12:10:33,6280.33,M342,Groceries,ATM Withdrawal,0,Kolkata,USA,D71150,ATM,No,Yes,0
T00183,C9423,2024-06-10 01:34:58,4760.93,M207,Utilities,POS,0,Kolkata,India,D23779,ATM,No,Yes,0
T00184,C4899,2024-11-19 22:28:13,6942.76,M278,Dining,ATM Withdrawal,0,Kolkata,USA,D93021,ATM,No,No,0
T00185,C5562,2024-12-11 01:20:37,1196.72,M845,Dining,Online,0,Chennai,USA,D53038,Web,No,No,0
T00186,C8953,2024-09-09 12:11:35,5125.75,M493,Groceries,POS,0,Kolkata,India,D61635,Web,No,Yes,0
T00187,C4510,2024-11-04 12:38:31,5753.06,M873,Groceries,POS,0,Bangalore,India,D16375,ATM,No,No,0
T00188,C9834,2024-07-20 11:35:43,8452.96,M530,Travel,POS,0,Hyderabad,India,D38878,ATM,No,Yes,0
T00189,C3167,2024-05-18 06:29:18,1629.31,M165,Utilities,POS,1,Hyderabad,USA,D37688,Web,Yes,Yes,0
T00190,C8744,2023-10-17 19:39:24,586.05,M163,Entertainment,ATM Withdrawal,0,Chennai,UK,D78271,ATM,No,No,0
T00191,C4981,2023-01-09 15:51:17,3197.49,M726,Utilities,POS,0,Mumbai,India,D98704,Mobile App,Yes,No,0
T00192,C8749,2024-03-05 22:26:19,8783.29,M356,Clothing,ATM Withdrawal,0,Bangalore,India,D73668,Mobile App,No,Yes,0
T00193,C7669,2024-11-10 10:50:14,1355.84,M217,Travel,POS,0,Delhi,Singapore,D80910,Mobile App,No,No,0
T00194,C4119,2024-03-07 03:15:00,1633.93,M138,Entertainment,POS,1,Mumbai,India,D78032,Web,Yes,No,0
T00195,C2545,2023-04-20 19:23:59,2727.43,M967,Utilities,POS,1,Hyderabad,Singapore,D98686,ATM,Yes,Yes,0
T00196,C2588,2023-04-06 17:16:11,4195.72,M867,Dining,POS,1,Kolkata,UK,D56237,Web,No,Yes,0
T00197,C8062,2023-02-02 10:42:28,9121.13,M174,Utilities,POS,0,Delhi,USA,D29075,Web,No,No,0
T00198,C6804,2023-01-04 21:45:46,3560.49,M552,Groceries,Online,0,Chennai,India,D77287,Mobile App,No,Yes,0
T00199,C7939,2024-03-20 20:14:54,2899.27,M881,Entertainment,Online,0,Bangalore,Singapore,D57906,Web,Yes,Yes,0
T00200,C7735,2024-04-08 10:27:11,5296.59,M483,Electronics,POS,1,Delhi,UK,D94241,Web,Yes,No,0
T00201,C8651,2023-11-03 02:12:55,9363.23,M721,Utilities,ATM Withdrawal,0,Kolkata,USA,D83507,ATM,Yes,No,0
T00202,C1887,2024-02-22 05:14:23,5139.15,M746,Electronics,Online,0,Bangalore,USA,D90579,Web,No,Yes,0
T00203,C2612,2024-03-01 06:36:50,7664.66,M960,Dining,POS,0,Kolkata,USA,D77122,ATM,No,Yes,0
T00204,C1993,2023-03-08 02:52:46,1833.29,M130,Entertainment,ATM Withdrawal,0,Hyderabad,USA,D61978,ATM,No,No,0
T00205,C7596,2023-08-25 15:51:17,945.99,M278,Groceries,POS,1,Mumbai,USA,D77178,Mobile App,No,Yes,0
T00206,C6559,2023-06-13 03:40:10,7526.53,M428,Utilities,POS,1,Mumbai,Singapore,D95453,Web,No,Yes,0
T00207,C2790,2024-08-04 05:15:33,5437.58,M210,Electronics,POS,0,Kolkata,USA,D23751,Web,Yes,No,0
